,time,team,x_pos_1,x_pos_2,x_pos_3,x_pos_4,x_pos_5,x_pos_6,x_pos_7,y_pos_1,y_pos_2,y_pos_3,y_pos_4,y_pos_5,y_pos_6,y_pos_7,x_pos_ball,y_pos_ball,ballControl
16,13,0,314.0,74.0,198.0,256.0,77.0,221.0,,206.0,251.0,340.0,267.0,215.0,93.0,,348,196,1
17,13,1,459.0,596.0,429.0,432.0,565.0,482.0,633.0,297.0,266.0,411.0,129.0,226.0,198.0,241.0,348,196,0
18,14,0,256.0,198.0,314.0,74.0,77.0,221.0,,267.0,340.0,206.0,251.0,216.0,93.0,,348,196,1
19,14,1,429.0,633.0,432.0,565.0,459.0,482.0,596.0,411.0,242.0,129.0,226.0,297.0,198.0,266.0,348,196,0
20,15,0,198.0,221.0,314.0,256.0,74.0,77.0,,340.0,93.0,206.0,267.0,251.0,216.0,,348,196,1
21,15,1,429.0,633.0,432.0,482.0,565.0,596.0,459.0,410.0,242.0,129.0,198.0,226.0,266.0,297.0,348,196,0
22,16,0,77.0,314.0,74.0,198.0,221.0,256.0,,216.0,206.0,251.0,340.0,93.0,267.0,,348,196,1
23,16,1,429.0,596.0,432.0,565.0,459.0,482.0,633.0,410.0,265.0,129.0,226.0,297.0,198.0,243.0,348,196,0
24,17,0,198.0,256.0,74.0,222.0,314.0,77.0,,340.0,267.0,251.0,93.0,206.0,216.0,,348,196,1
25,17,1,482.0,565.0,633.0,432.0,459.0,429.0,596.0,198.0,226.0,243.0,128.0,297.0,410.0,265.0,348,196,0
26,18,0,77.0,256.0,222.0,314.0,198.0,73.0,,216.0,266.0,94.0,206.0,340.0,251.0,,348,196,1
27,18,1,459.0,432.0,633.0,596.0,482.0,429.0,565.0,297.0,127.0,243.0,265.0,198.0,410.0,226.0,348,196,0
28,19,0,77.0,222.0,73.0,255.0,198.0,314.0,,216.0,94.0,251.0,266.0,340.0,205.0,,347,196,1
29,19,1,482.0,459.0,633.0,432.0,565.0,597.0,429.0,198.0,297.0,243.0,127.0,226.0,264.0,410.0,347,196,0
30,20,0,198.0,73.0,77.0,314.0,255.0,221.0,,340.0,250.0,216.0,206.0,266.0,94.0,,347,196,1
31,20,1,459.0,429.0,432.0,597.0,633.0,482.0,565.0,296.0,410.0,128.0,264.0,243.0,199.0,226.0,347,196,0
32,21,0,198.0,77.0,255.0,74.0,314.0,222.0,,340.0,216.0,266.0,251.0,206.0,93.0,,348,196,1
33,21,1,482.0,565.0,459.0,432.0,633.0,597.0,429.0,200.0,226.0,296.0,128.0,243.0,264.0,410.0,348,196,0
34,22,0,221.0,77.0,74.0,255.0,314.0,198.0,,92.0,216.0,251.0,266.0,206.0,340.0,,348,196,1
35,22,1,565.0,482.0,633.0,432.0,597.0,459.0,429.0,226.0,199.0,243.0,129.0,265.0,297.0,410.0,348,196,0
36,23,0,314.0,198.0,77.0,74.0,255.0,221.0,,206.0,340.0,215.0,251.0,266.0,92.0,,348,195,1
37,23,1,459.0,482.0,597.0,633.0,565.0,432.0,429.0,297.0,199.0,264.0,243.0,226.0,129.0,410.0,348,195,0
38,24,0,77.0,198.0,256.0,221.0,314.0,74.0,,215.0,340.0,267.0,92.0,206.0,251.0,,348,195,1
39,24,1,633.0,429.0,597.0,432.0,459.0,565.0,482.0,243.0,410.0,264.0,129.0,296.0,226.0,199.0,348,195,0
40,25,0,255.0,77.0,74.0,314.0,198.0,221.0,,266.0,214.0,251.0,206.0,340.0,93.0,,348,195,1
41,25,1,432.0,565.0,429.0,459.0,482.0,597.0,633.0,129.0,226.0,410.0,297.0,200.0,265.0,243.0,348,195,0
42,26,0,255.0,198.0,74.0,77.0,314.0,221.0,,266.0,340.0,251.0,214.0,206.0,92.0,,348,195,1
43,26,1,459.0,565.0,597.0,432.0,482.0,633.0,429.0,297.0,226.0,265.0,129.0,200.0,243.0,410.0,348,195,0
44,27,0,255.0,77.0,198.0,314.0,74.0,221.0,,266.0,214.0,340.0,206.0,251.0,92.0,,348,195,1
45,27,1,597.0,459.0,429.0,565.0,432.0,633.0,482.0,265.0,297.0,410.0,226.0,129.0,243.0,199.0,348,195,0
46,28,0,314.0,77.0,256.0,74.0,221.0,198.0,,206.0,214.0,267.0,251.0,92.0,340.0,,348,195,1
47,28,1,429.0,565.0,597.0,482.0,432.0,459.0,633.0,410.0,226.0,265.0,198.0,129.0,296.0,243.0,348,195,0
48,29,0,256.0,198.0,314.0,74.0,77.0,221.0,,267.0,340.0,206.0,251.0,215.0,92.0,,348,195,1
49,29,1,633.0,429.0,565.0,482.0,459.0,432.0,597.0,243.0,410.0,226.0,198.0,296.0,129.0,265.0,348,195,0
50,30,0,77.0,74.0,314.0,255.0,222.0,198.0,,216.0,251.0,205.0,266.0,93.0,340.0,,348,195,1
51,30,1,633.0,565.0,459.0,483.0,432.0,597.0,429.0,243.0,226.0,296.0,198.0,129.0,265.0,410.0,348,195,0
52,31,0,314.0,198.0,74.0,255.0,77.0,222.0,,206.0,340.0,251.0,266.0,216.0,93.0,,348,195,1
53,31,1,482.0,432.0,634.0,429.0,597.0,565.0,459.0,199.0,129.0,243.0,410.0,264.0,226.0,296.0,348,195,0
54,32,0,255.0,198.0,222.0,77.0,314.0,74.0,,266.0,340.0,93.0,216.0,206.0,251.0,,348,195,1
55,32,1,597.0,565.0,432.0,429.0,459.0,634.0,482.0,264.0,226.0,129.0,410.0,296.0,243.0,200.0,348,195,0
56,33,0,314.0,74.0,77.0,198.0,222.0,255.0,,205.0,251.0,216.0,340.0,93.0,266.0,,348,195,1
57,33,1,634.0,432.0,565.0,459.0,429.0,482.0,597.0,242.0,129.0,226.0,296.0,410.0,200.0,264.0,348,195,0
58,34,0,255.0,198.0,222.0,314.0,74.0,77.0,,266.0,340.0,93.0,206.0,251.0,216.0,,348,195,1
59,34,1,482.0,634.0,565.0,429.0,432.0,459.0,597.0,200.0,242.0,226.0,410.0,129.0,296.0,264.0,348,195,0
60,35,0,74.0,314.0,255.0,198.0,222.0,77.0,,251.0,206.0,266.0,340.0,93.0,216.0,,348,195,1
61,35,1,634.0,596.0,429.0,459.0,482.0,565.0,432.0,242.0,265.0,410.0,296.0,200.0,226.0,129.0,348,195,0
62,36,0,222.0,314.0,74.0,77.0,255.0,198.0,,93.0,206.0,251.0,216.0,266.0,340.0,,348,195,1
63,36,1,565.0,432.0,482.0,633.0,429.0,459.0,597.0,226.0,129.0,199.0,243.0,410.0,296.0,264.0,348,195,0
64,37,0,314.0,222.0,74.0,255.0,77.0,198.0,,205.0,93.0,251.0,266.0,216.0,340.0,,348,195,1
65,37,1,459.0,482.0,597.0,565.0,634.0,429.0,432.0,296.0,199.0,264.0,226.0,242.0,410.0,129.0,348,195,0
66,38,0,74.0,314.0,77.0,222.0,198.0,255.0,,251.0,205.0,216.0,93.0,340.0,266.0,,348,195,1
67,38,1,481.0,565.0,429.0,597.0,432.0,634.0,459.0,200.0,226.0,410.0,264.0,129.0,242.0,297.0,348,195,0
68,39,0,74.0,77.0,314.0,256.0,222.0,198.0,,251.0,216.0,205.0,267.0,93.0,340.0,,348,195,1
69,39,1,597.0,459.0,429.0,432.0,633.0,565.0,481.0,264.0,296.0,410.0,129.0,243.0,226.0,201.0,348,195,0
70,40,0,77.0,222.0,256.0,314.0,74.0,198.0,,216.0,93.0,267.0,205.0,251.0,340.0,,348,195,1
71,40,1,634.0,597.0,565.0,481.0,459.0,429.0,432.0,242.0,264.0,226.0,200.0,296.0,410.0,129.0,348,195,0
72,41,0,77.0,256.0,222.0,74.0,198.0,314.0,,216.0,267.0,93.0,251.0,340.0,205.0,,348,195,1
73,41,1,459.0,633.0,481.0,432.0,597.0,429.0,565.0,296.0,243.0,200.0,128.0,264.0,410.0,226.0,348,195,0
74,42,0,74.0,256.0,222.0,77.0,198.0,314.0,,251.0,267.0,93.0,216.0,340.0,205.0,,348,195,1
75,42,1,459.0,597.0,481.0,429.0,565.0,432.0,633.0,296.0,264.0,200.0,410.0,226.0,129.0,242.0,348,195,0
76,43,0,314.0,256.0,74.0,198.0,77.0,222.0,,205.0,267.0,251.0,340.0,216.0,93.0,,348,195,1
77,43,1,432.0,459.0,597.0,565.0,634.0,481.0,429.0,129.0,296.0,264.0,226.0,242.0,200.0,410.0,348,195,0
78,44,0,74.0,314.0,198.0,221.0,255.0,77.0,,251.0,205.0,340.0,92.0,266.0,216.0,,348,195,1
79,44,1,429.0,565.0,432.0,459.0,597.0,481.0,633.0,410.0,226.0,129.0,297.0,264.0,200.0,242.0,348,195,0
80,45,0,198.0,255.0,221.0,77.0,74.0,314.0,,340.0,266.0,92.0,216.0,251.0,205.0,,348,195,1
81,45,1,459.0,565.0,481.0,432.0,597.0,429.0,633.0,296.0,226.0,201.0,128.0,264.0,410.0,243.0,348,195,0
82,46,0,198.0,314.0,221.0,77.0,74.0,255.0,,340.0,205.0,92.0,216.0,251.0,266.0,,348,195,1
83,46,1,432.0,633.0,597.0,481.0,429.0,565.0,459.0,128.0,243.0,264.0,201.0,410.0,226.0,296.0,348,195,0
84,47,0,198.0,255.0,314.0,77.0,74.0,221.0,,340.0,266.0,205.0,216.0,251.0,92.0,,348,195,1
85,47,1,565.0,459.0,432.0,429.0,481.0,632.0,597.0,226.0,296.0,127.0,410.0,201.0,242.0,264.0,348,195,0
86,48,0,198.0,77.0,255.0,221.0,314.0,74.0,,340.0,216.0,266.0,92.0,205.0,251.0,,347,195,1
87,48,1,429.0,459.0,432.0,481.0,565.0,597.0,633.0,410.0,296.0,127.0,201.0,226.0,264.0,241.0,347,195,0
88,49,0,77.0,314.0,198.0,221.0,255.0,74.0,,215.0,205.0,340.0,92.0,266.0,251.0,,347,195,1
89,49,1,633.0,596.0,565.0,481.0,432.0,459.0,429.0,241.0,265.0,226.0,201.0,127.0,296.0,410.0,347,195,0
90,50,0,314.0,77.0,74.0,222.0,256.0,198.0,,205.0,214.0,251.0,93.0,267.0,340.0,,347,195,1
91,50,1,565.0,597.0,459.0,633.0,432.0,481.0,429.0,226.0,264.0,296.0,241.0,127.0,200.0,410.0,347,195,0
92,51,0,74.0,198.0,255.0,221.0,314.0,77.0,,251.0,340.0,266.0,92.0,205.0,214.0,,348,195,1
93,51,1,432.0,597.0,565.0,459.0,482.0,633.0,429.0,127.0,264.0,226.0,296.0,199.0,241.0,410.0,348,195,0
94,52,0,74.0,256.0,314.0,198.0,77.0,221.0,,251.0,267.0,205.0,340.0,214.0,92.0,,348,195,1
95,52,1,482.0,432.0,597.0,633.0,429.0,459.0,565.0,199.0,127.0,264.0,242.0,410.0,296.0,225.0,348,195,0
96,53,0,74.0,77.0,255.0,198.0,314.0,221.0,,251.0,214.0,266.0,340.0,205.0,92.0,,348,195,1
97,53,1,564.0,597.0,459.0,429.0,481.0,633.0,432.0,226.0,264.0,296.0,410.0,200.0,243.0,127.0,348,195,0
98,54,0,314.0,255.0,221.0,77.0,198.0,74.0,,205.0,266.0,92.0,214.0,340.0,251.0,,348,195,1
99,54,1,432.0,429.0,633.0,459.0,597.0,564.0,481.0,127.0,410.0,244.0,296.0,264.0,227.0,201.0,348,195,0
100,55,0,221.0,77.0,74.0,256.0,198.0,314.0,,92.0,214.0,251.0,266.0,340.0,205.0,,348,195,1
101,55,1,459.0,432.0,429.0,633.0,481.0,597.0,564.0,296.0,127.0,410.0,244.0,200.0,264.0,226.0,348,195,0
102,56,0,198.0,256.0,77.0,314.0,74.0,221.0,,340.0,266.0,214.0,205.0,251.0,92.0,,348,195,1
103,56,1,429.0,564.0,432.0,459.0,482.0,597.0,,410.0,226.0,127.0,296.0,199.0,264.0,,348,195,0
104,57,0,255.0,222.0,314.0,73.0,77.0,198.0,,266.0,93.0,205.0,251.0,214.0,340.0,,348,196,1
105,57,1,564.0,429.0,432.0,482.0,597.0,459.0,,226.0,410.0,127.0,200.0,264.0,296.0,,348,196,0
106,58,0,77.0,198.0,314.0,256.0,74.0,222.0,,214.0,340.0,206.0,266.0,251.0,94.0,,348,196,1
107,58,1,459.0,564.0,429.0,433.0,481.0,597.0,,296.0,226.0,410.0,127.0,201.0,263.0,,348,196,0
108,59,0,198.0,255.0,74.0,222.0,314.0,77.0,,340.0,266.0,251.0,94.0,205.0,214.0,,348,196,1
109,59,1,429.0,564.0,432.0,482.0,597.0,459.0,,410.0,225.0,127.0,200.0,263.0,296.0,,348,196,0
110,60,0,74.0,222.0,256.0,314.0,77.0,198.0,,251.0,94.0,266.0,205.0,215.0,341.0,,348,196,1
111,60,1,459.0,597.0,564.0,432.0,429.0,482.0,,296.0,263.0,226.0,127.0,410.0,199.0,,348,196,0
112,61,0,198.0,222.0,77.0,74.0,256.0,314.0,,340.0,94.0,216.0,251.0,267.0,205.0,,348,196,1
113,61,1,429.0,597.0,433.0,564.0,482.0,459.0,,410.0,264.0,127.0,227.0,200.0,296.0,,348,196,0
114,62,0,222.0,77.0,256.0,198.0,74.0,314.0,,94.0,216.0,266.0,340.0,251.0,205.0,,348,196,1
115,62,1,459.0,597.0,564.0,429.0,481.0,433.0,,296.0,263.0,226.0,410.0,201.0,127.0,,348,196,0
116,63,0,314.0,198.0,222.0,77.0,74.0,256.0,,205.0,340.0,94.0,216.0,251.0,266.0,,348,196,1
117,63,1,597.0,429.0,433.0,482.0,565.0,459.0,,263.0,410.0,127.0,200.0,226.0,296.0,,348,196,0
118,64,0,256.0,74.0,222.0,314.0,198.0,77.0,,266.0,251.0,94.0,206.0,340.0,215.0,,348,196,1
119,64,1,482.0,597.0,459.0,432.0,565.0,429.0,,199.0,263.0,296.0,127.0,226.0,410.0,,348,196,0
120,65,0,314.0,256.0,74.0,77.0,221.0,198.0,,206.0,266.0,251.0,215.0,93.0,340.0,,347,196,1
121,65,1,459.0,565.0,482.0,432.0,429.0,597.0,,296.0,226.0,200.0,127.0,410.0,263.0,,347,196,0
122,66,0,74.0,77.0,221.0,314.0,198.0,256.0,,251.0,216.0,93.0,206.0,340.0,266.0,,347,196,1
123,66,1,565.0,482.0,597.0,433.0,633.0,459.0,429.0,226.0,201.0,263.0,127.0,245.0,296.0,410.0,347,196,0
124,67,0,74.0,78.0,256.0,221.0,315.0,198.0,,251.0,217.0,266.0,93.0,205.0,340.0,,347,196,1
125,67,1,459.0,429.0,565.0,597.0,634.0,481.0,432.0,296.0,410.0,226.0,263.0,244.0,201.0,127.0,347,196,0
126,68,0,74.0,256.0,78.0,221.0,314.0,198.0,,251.0,266.0,217.0,94.0,206.0,340.0,,347,196,1
127,68,1,597.0,432.0,564.0,459.0,634.0,429.0,482.0,263.0,127.0,226.0,296.0,244.0,410.0,202.0,347,196,0
128,69,0,197.0,314.0,256.0,74.0,78.0,222.0,,340.0,205.0,266.0,251.0,217.0,94.0,,347,196,1
129,69,1,564.0,634.0,432.0,597.0,459.0,429.0,482.0,226.0,245.0,127.0,263.0,296.0,410.0,202.0,347,196,0
130,70,0,78.0,314.0,74.0,221.0,197.0,256.0,,217.0,206.0,251.0,94.0,340.0,266.0,,347,196,1
131,70,1,432.0,429.0,564.0,597.0,459.0,482.0,,127.0,410.0,226.0,263.0,296.0,202.0,,347,196,0
132,71,0,74.0,221.0,256.0,78.0,314.0,197.0,,251.0,94.0,265.0,217.0,206.0,340.0,,347,196,1
133,71,1,564.0,429.0,634.0,597.0,432.0,459.0,482.0,227.0,410.0,244.0,263.0,127.0,296.0,202.0,347,196,0
134,72,0,314.0,256.0,74.0,78.0,197.0,222.0,,206.0,266.0,251.0,217.0,340.0,94.0,,347,196,1
135,72,1,564.0,597.0,432.0,634.0,459.0,429.0,481.0,226.0,263.0,127.0,244.0,296.0,410.0,202.0,347,196,0
136,73,0,74.0,221.0,257.0,197.0,78.0,314.0,,251.0,93.0,266.0,340.0,217.0,206.0,,347,196,1
137,73,1,481.0,429.0,564.0,459.0,597.0,432.0,,202.0,410.0,226.0,296.0,263.0,127.0,,347,196,0
138,74,0,315.0,77.0,74.0,222.0,197.0,257.0,,205.0,216.0,251.0,94.0,340.0,266.0,,347,196,1
139,74,1,459.0,564.0,432.0,597.0,482.0,429.0,,296.0,226.0,127.0,264.0,201.0,410.0,,347,196,0
140,75,0,257.0,75.0,222.0,314.0,77.0,197.0,,266.0,251.0,94.0,206.0,215.0,340.0,,347,196,1
141,75,1,564.0,429.0,635.0,459.0,482.0,432.0,597.0,227.0,410.0,244.0,296.0,200.0,127.0,264.0,347,196,0
142,76,0,222.0,315.0,77.0,257.0,75.0,197.0,,94.0,206.0,214.0,266.0,251.0,341.0,,347,196,1
143,76,1,565.0,459.0,482.0,597.0,432.0,634.0,429.0,226.0,296.0,200.0,264.0,127.0,245.0,410.0,347,196,0
144,77,0,77.0,222.0,74.0,197.0,257.0,315.0,,214.0,94.0,251.0,340.0,266.0,206.0,,347,196,1
145,77,1,597.0,634.0,432.0,481.0,565.0,429.0,459.0,264.0,245.0,127.0,201.0,226.0,410.0,296.0,347,196,0
146,78,0,221.0,77.0,74.0,256.0,197.0,315.0,,93.0,215.0,251.0,266.0,340.0,206.0,,347,196,1
147,78,1,459.0,481.0,566.0,634.0,597.0,429.0,432.0,296.0,202.0,226.0,245.0,264.0,410.0,127.0,347,196,0
148,79,0,78.0,197.0,74.0,222.0,257.0,315.0,,215.0,340.0,251.0,93.0,266.0,206.0,,347,196,1
149,79,1,459.0,597.0,429.0,566.0,432.0,635.0,482.0,296.0,264.0,410.0,226.0,127.0,244.0,200.0,347,196,0
150,80,0,257.0,197.0,74.0,77.0,222.0,315.0,,266.0,340.0,251.0,214.0,94.0,206.0,,347,196,1
151,80,1,481.0,566.0,597.0,429.0,432.0,635.0,459.0,201.0,225.0,264.0,410.0,127.0,244.0,296.0,347,196,0
152,81,0,77.0,257.0,222.0,316.0,74.0,197.0,,214.0,266.0,93.0,206.0,251.0,340.0,,347,196,1
153,81,1,429.0,432.0,481.0,634.0,566.0,597.0,459.0,410.0,127.0,202.0,244.0,225.0,265.0,297.0,347,196,0
154,82,0,316.0,74.0,257.0,77.0,197.0,222.0,,206.0,251.0,266.0,214.0,340.0,93.0,,348,196,1
155,82,1,596.0,566.0,634.0,429.0,459.0,432.0,481.0,265.0,226.0,245.0,410.0,296.0,127.0,202.0,348,196,0
156,83,0,77.0,316.0,222.0,74.0,257.0,197.0,,214.0,206.0,93.0,251.0,266.0,340.0,,347,196,1
157,83,1,633.0,596.0,432.0,429.0,481.0,565.0,459.0,245.0,265.0,127.0,410.0,202.0,226.0,297.0,347,196,0
158,84,0,78.0,257.0,316.0,222.0,198.0,74.0,,215.0,266.0,207.0,94.0,340.0,251.0,,347,196,1
159,84,1,565.0,481.0,634.0,597.0,459.0,432.0,429.0,226.0,202.0,246.0,264.0,296.0,127.0,410.0,347,196,0
160,85,0,78.0,257.0,198.0,75.0,315.0,222.0,,216.0,266.0,340.0,251.0,207.0,94.0,,347,196,1
161,85,1,429.0,565.0,596.0,459.0,432.0,481.0,634.0,410.0,226.0,265.0,296.0,127.0,202.0,246.0,347,196,0
162,86,0,257.0,75.0,315.0,78.0,198.0,222.0,,266.0,251.0,206.0,215.0,340.0,94.0,,347,196,1
163,86,1,459.0,432.0,596.0,634.0,430.0,565.0,481.0,297.0,127.0,265.0,246.0,410.0,226.0,201.0,347,196,0
164,87,0,75.0,78.0,257.0,222.0,198.0,315.0,,251.0,216.0,266.0,94.0,340.0,206.0,,347,196,1
165,87,1,432.0,481.0,459.0,596.0,634.0,430.0,565.0,128.0,201.0,296.0,265.0,246.0,410.0,226.0,347,196,0
166,88,0,222.0,78.0,257.0,74.0,315.0,198.0,,94.0,216.0,266.0,251.0,207.0,340.0,,347,196,1
167,88,1,596.0,432.0,565.0,430.0,634.0,459.0,481.0,265.0,127.0,227.0,410.0,246.0,296.0,201.0,347,196,0
168,89,0,78.0,315.0,198.0,257.0,222.0,74.0,,216.0,206.0,340.0,266.0,94.0,251.0,,347,196,1
169,89,1,634.0,429.0,596.0,481.0,565.0,459.0,432.0,245.0,410.0,265.0,202.0,228.0,296.0,128.0,347,196,0
170,90,0,78.0,198.0,222.0,75.0,315.0,257.0,,217.0,340.0,94.0,251.0,206.0,267.0,,347,196,1
171,90,1,634.0,596.0,459.0,564.0,429.0,432.0,481.0,246.0,265.0,296.0,229.0,410.0,129.0,202.0,347,196,0
172,91,0,315.0,257.0,198.0,222.0,79.0,75.0,,207.0,267.0,340.0,94.0,218.0,251.0,,347,196,1
173,91,1,481.0,633.0,459.0,432.0,565.0,429.0,596.0,202.0,247.0,296.0,129.0,230.0,410.0,265.0,347,196,0
174,92,0,222.0,315.0,257.0,198.0,75.0,78.0,,93.0,206.0,267.0,340.0,251.0,217.0,,347,196,1
175,92,1,459.0,633.0,565.0,429.0,481.0,596.0,432.0,297.0,246.0,229.0,410.0,201.0,266.0,129.0,347,196,0
176,93,0,222.0,257.0,78.0,315.0,198.0,75.0,,93.0,266.0,217.0,206.0,340.0,252.0,,347,196,1
177,93,1,565.0,432.0,481.0,596.0,633.0,459.0,429.0,229.0,129.0,202.0,265.0,246.0,296.0,410.0,347,196,0
178,94,0,222.0,315.0,198.0,257.0,75.0,79.0,,94.0,206.0,341.0,266.0,251.0,217.0,,347,196,1
179,94,1,459.0,432.0,565.0,429.0,596.0,633.0,481.0,297.0,129.0,230.0,410.0,265.0,246.0,202.0,347,196,0
180,95,0,74.0,223.0,316.0,198.0,257.0,79.0,,251.0,94.0,206.0,340.0,267.0,217.0,,347,196,1
181,95,1,596.0,633.0,432.0,481.0,565.0,429.0,459.0,266.0,246.0,129.0,202.0,231.0,411.0,297.0,347,196,0
182,96,0,222.0,74.0,316.0,198.0,79.0,257.0,,94.0,251.0,207.0,340.0,218.0,267.0,,347,196,1
183,96,1,633.0,429.0,459.0,565.0,596.0,432.0,481.0,246.0,411.0,297.0,230.0,266.0,130.0,202.0,347,196,0
184,97,0,74.0,315.0,198.0,222.0,257.0,78.0,,251.0,207.0,340.0,94.0,267.0,217.0,,347,196,1
185,97,1,565.0,432.0,429.0,481.0,633.0,459.0,596.0,230.0,129.0,410.0,202.0,246.0,296.0,265.0,347,196,0
186,98,0,79.0,75.0,257.0,223.0,315.0,198.0,,218.0,251.0,267.0,95.0,206.0,341.0,,347,196,1
187,98,1,564.0,432.0,481.0,596.0,459.0,634.0,429.0,230.0,130.0,204.0,266.0,297.0,247.0,411.0,347,196,0
188,99,0,199.0,257.0,223.0,78.0,316.0,76.0,,342.0,268.0,96.0,217.0,207.0,252.0,,347,196,1
189,99,1,481.0,633.0,564.0,596.0,429.0,459.0,432.0,204.0,248.0,231.0,266.0,411.0,297.0,131.0,347,196,0
190,100,0,75.0,78.0,199.0,223.0,257.0,316.0,,251.0,216.0,342.0,96.0,268.0,208.0,,347,196,1
191,100,1,481.0,429.0,633.0,459.0,564.0,432.0,596.0,204.0,411.0,248.0,298.0,231.0,131.0,266.0,347,196,0
192,101,0,199.0,78.0,257.0,75.0,316.0,223.0,,342.0,216.0,268.0,251.0,208.0,96.0,,347,196,1
193,101,1,596.0,459.0,432.0,429.0,634.0,564.0,481.0,266.0,298.0,131.0,411.0,248.0,231.0,204.0,347,196,0
194,102,0,257.0,223.0,198.0,75.0,316.0,78.0,,268.0,96.0,341.0,251.0,207.0,216.0,,347,196,1
195,102,1,429.0,432.0,564.0,596.0,459.0,634.0,481.0,411.0,131.0,231.0,266.0,298.0,247.0,205.0,347,196,0
196,103,0,76.0,78.0,199.0,222.0,316.0,257.0,,252.0,217.0,342.0,96.0,209.0,268.0,,347,196,1
197,103,1,633.0,459.0,481.0,432.0,429.0,596.0,564.0,248.0,298.0,204.0,131.0,411.0,266.0,231.0,347,196,0
198,104,0,316.0,199.0,223.0,78.0,76.0,257.0,,208.0,342.0,96.0,217.0,252.0,267.0,,347,196,1
199,104,1,564.0,459.0,633.0,429.0,596.0,432.0,481.0,231.0,297.0,248.0,411.0,266.0,131.0,204.0,347,196,0
200,105,0,199.0,222.0,317.0,75.0,78.0,257.0,,342.0,95.0,207.0,251.0,217.0,268.0,,347,196,1
201,105,1,432.0,564.0,459.0,633.0,429.0,481.0,596.0,131.0,232.0,297.0,248.0,411.0,204.0,266.0,347,196,0
202,106,0,75.0,222.0,257.0,318.0,199.0,78.0,,251.0,96.0,268.0,208.0,342.0,217.0,,347,196,1
203,106,1,632.0,432.0,459.0,429.0,481.0,596.0,564.0,249.0,131.0,298.0,411.0,204.0,266.0,232.0,347,196,0
204,107,0,223.0,257.0,75.0,78.0,318.0,199.0,,95.0,268.0,252.0,217.0,207.0,341.0,,347,196,1
205,107,1,429.0,432.0,633.0,596.0,565.0,481.0,459.0,411.0,130.0,248.0,266.0,231.0,204.0,298.0,347,196,0
206,108,0,257.0,78.0,76.0,318.0,222.0,199.0,,268.0,216.0,253.0,207.0,94.0,342.0,,347,196,1
207,108,1,596.0,481.0,429.0,459.0,564.0,432.0,633.0,265.0,202.0,411.0,298.0,232.0,131.0,248.0,347,196,0
208,109,0,257.0,78.0,318.0,76.0,200.0,222.0,,268.0,216.0,207.0,253.0,341.0,95.0,,347,196,1
209,109,1,432.0,481.0,459.0,565.0,633.0,596.0,429.0,131.0,202.0,297.0,232.0,248.0,266.0,411.0,347,196,0
210,110,0,199.0,222.0,319.0,75.0,78.0,257.0,,341.0,96.0,206.0,253.0,216.0,268.0,,347,196,1
211,110,1,432.0,565.0,633.0,596.0,481.0,459.0,429.0,131.0,232.0,248.0,266.0,202.0,297.0,411.0,347,196,0
