,time,team,x_pos_1,x_pos_2,x_pos_3,x_pos_4,x_pos_5,x_pos_6,x_pos_7,y_pos_1,y_pos_2,y_pos_3,y_pos_4,y_pos_5,y_pos_6,y_pos_7
40,25,0,255.0,77.0,74.0,314.0,198.0,221.0,,266.0,214.0,251.0,206.0,340.0,93.0,
41,25,1,432.0,565.0,429.0,459.0,482.0,597.0,633.0,129.0,226.0,410.0,297.0,200.0,265.0,243.0
42,26,0,255.0,198.0,74.0,77.0,314.0,221.0,,266.0,340.0,251.0,214.0,206.0,92.0,
43,26,1,459.0,565.0,597.0,432.0,482.0,633.0,429.0,297.0,226.0,265.0,129.0,200.0,243.0,410.0
44,27,0,255.0,77.0,198.0,314.0,74.0,221.0,,266.0,214.0,340.0,206.0,251.0,92.0,
45,27,1,597.0,459.0,429.0,565.0,432.0,633.0,482.0,265.0,297.0,410.0,226.0,129.0,243.0,199.0
46,28,0,314.0,77.0,256.0,74.0,221.0,198.0,,206.0,214.0,267.0,251.0,92.0,340.0,
47,28,1,429.0,565.0,597.0,482.0,432.0,459.0,633.0,410.0,226.0,265.0,198.0,129.0,296.0,243.0
48,29,0,256.0,198.0,314.0,74.0,77.0,221.0,,267.0,340.0,206.0,251.0,215.0,92.0,
49,29,1,633.0,429.0,565.0,482.0,459.0,432.0,597.0,243.0,410.0,226.0,198.0,296.0,129.0,265.0
50,30,0,77.0,74.0,314.0,255.0,222.0,198.0,,216.0,251.0,205.0,266.0,93.0,340.0,
51,30,1,633.0,565.0,459.0,483.0,432.0,597.0,429.0,243.0,226.0,296.0,198.0,129.0,265.0,410.0
52,31,0,314.0,198.0,74.0,255.0,77.0,222.0,,206.0,340.0,251.0,266.0,216.0,93.0,
53,31,1,482.0,432.0,634.0,429.0,597.0,565.0,459.0,199.0,129.0,243.0,410.0,264.0,226.0,296.0
54,32,0,255.0,198.0,222.0,77.0,314.0,74.0,,266.0,340.0,93.0,216.0,206.0,251.0,
55,32,1,597.0,565.0,432.0,429.0,459.0,634.0,482.0,264.0,226.0,129.0,410.0,296.0,243.0,200.0
56,33,0,314.0,74.0,77.0,198.0,222.0,255.0,,205.0,251.0,216.0,340.0,93.0,266.0,
57,33,1,634.0,432.0,565.0,459.0,429.0,482.0,597.0,242.0,129.0,226.0,296.0,410.0,200.0,264.0
58,34,0,255.0,198.0,222.0,314.0,74.0,77.0,,266.0,340.0,93.0,206.0,251.0,216.0,
59,34,1,482.0,634.0,565.0,429.0,432.0,459.0,597.0,200.0,242.0,226.0,410.0,129.0,296.0,264.0
60,35,0,74.0,314.0,255.0,198.0,222.0,77.0,,251.0,206.0,266.0,340.0,93.0,216.0,
61,35,1,634.0,596.0,429.0,459.0,482.0,565.0,432.0,242.0,265.0,410.0,296.0,200.0,226.0,129.0
62,36,0,222.0,314.0,74.0,77.0,255.0,198.0,,93.0,206.0,251.0,216.0,266.0,340.0,
63,36,1,565.0,432.0,482.0,633.0,429.0,459.0,597.0,226.0,129.0,199.0,243.0,410.0,296.0,264.0
64,37,0,314.0,222.0,74.0,255.0,77.0,198.0,,205.0,93.0,251.0,266.0,216.0,340.0,
65,37,1,459.0,482.0,597.0,565.0,634.0,429.0,432.0,296.0,199.0,264.0,226.0,242.0,410.0,129.0
66,38,0,74.0,314.0,77.0,222.0,198.0,255.0,,251.0,205.0,216.0,93.0,340.0,266.0,
67,38,1,481.0,565.0,429.0,597.0,432.0,634.0,459.0,200.0,226.0,410.0,264.0,129.0,242.0,297.0
68,39,0,74.0,77.0,314.0,256.0,222.0,198.0,,251.0,216.0,205.0,267.0,93.0,340.0,
69,39,1,597.0,459.0,429.0,432.0,633.0,565.0,481.0,264.0,296.0,410.0,129.0,243.0,226.0,201.0
70,40,0,77.0,222.0,256.0,314.0,74.0,198.0,,216.0,93.0,267.0,205.0,251.0,340.0,
71,40,1,634.0,597.0,565.0,481.0,459.0,429.0,432.0,242.0,264.0,226.0,200.0,296.0,410.0,129.0
72,41,0,77.0,256.0,222.0,74.0,198.0,314.0,,216.0,267.0,93.0,251.0,340.0,205.0,
73,41,1,459.0,633.0,481.0,432.0,597.0,429.0,565.0,296.0,243.0,200.0,128.0,264.0,410.0,226.0
74,42,0,74.0,256.0,222.0,77.0,198.0,314.0,,251.0,267.0,93.0,216.0,340.0,205.0,
75,42,1,459.0,597.0,481.0,429.0,565.0,432.0,633.0,296.0,264.0,200.0,410.0,226.0,129.0,242.0
76,43,0,314.0,256.0,74.0,198.0,77.0,222.0,,205.0,267.0,251.0,340.0,216.0,93.0,
77,43,1,432.0,459.0,597.0,565.0,634.0,481.0,429.0,129.0,296.0,264.0,226.0,242.0,200.0,410.0
78,44,0,74.0,314.0,198.0,221.0,255.0,77.0,,251.0,205.0,340.0,92.0,266.0,216.0,
79,44,1,429.0,565.0,432.0,459.0,597.0,481.0,633.0,410.0,226.0,129.0,297.0,264.0,200.0,242.0
80,45,0,198.0,255.0,221.0,77.0,74.0,314.0,,340.0,266.0,92.0,216.0,251.0,205.0,
81,45,1,459.0,565.0,481.0,432.0,597.0,429.0,633.0,296.0,226.0,201.0,128.0,264.0,410.0,243.0
82,46,0,198.0,314.0,221.0,77.0,74.0,255.0,,340.0,205.0,92.0,216.0,251.0,266.0,
83,46,1,432.0,633.0,597.0,481.0,429.0,565.0,459.0,128.0,243.0,264.0,201.0,410.0,226.0,296.0
84,47,0,198.0,255.0,314.0,77.0,74.0,221.0,,340.0,266.0,205.0,216.0,251.0,92.0,
85,47,1,565.0,459.0,432.0,429.0,481.0,632.0,597.0,226.0,296.0,127.0,410.0,201.0,242.0,264.0
86,48,0,198.0,77.0,255.0,221.0,314.0,74.0,,340.0,216.0,266.0,92.0,205.0,251.0,
87,48,1,429.0,459.0,432.0,481.0,565.0,597.0,633.0,410.0,296.0,127.0,201.0,226.0,264.0,241.0
88,49,0,77.0,314.0,198.0,221.0,255.0,74.0,,215.0,205.0,340.0,92.0,266.0,251.0,
89,49,1,633.0,596.0,565.0,481.0,432.0,459.0,429.0,241.0,265.0,226.0,201.0,127.0,296.0,410.0
90,50,0,314.0,77.0,74.0,222.0,256.0,198.0,,205.0,214.0,251.0,93.0,267.0,340.0,
91,50,1,565.0,597.0,459.0,633.0,432.0,481.0,429.0,226.0,264.0,296.0,241.0,127.0,200.0,410.0
92,51,0,74.0,198.0,255.0,221.0,314.0,77.0,,251.0,340.0,266.0,92.0,205.0,214.0,
93,51,1,432.0,597.0,565.0,459.0,482.0,633.0,429.0,127.0,264.0,226.0,296.0,199.0,241.0,410.0
94,52,0,74.0,256.0,314.0,198.0,77.0,221.0,,251.0,267.0,205.0,340.0,214.0,92.0,
95,52,1,482.0,432.0,597.0,633.0,429.0,459.0,565.0,199.0,127.0,264.0,242.0,410.0,296.0,225.0
96,53,0,74.0,77.0,255.0,198.0,314.0,221.0,,251.0,214.0,266.0,340.0,205.0,92.0,
97,53,1,564.0,597.0,459.0,429.0,481.0,633.0,432.0,226.0,264.0,296.0,410.0,200.0,243.0,127.0
98,54,0,314.0,255.0,221.0,77.0,198.0,74.0,,205.0,266.0,92.0,214.0,340.0,251.0,
99,54,1,432.0,429.0,633.0,459.0,597.0,564.0,481.0,127.0,410.0,244.0,296.0,264.0,227.0,201.0
100,55,0,221.0,77.0,74.0,256.0,198.0,314.0,,92.0,214.0,251.0,266.0,340.0,205.0,
101,55,1,459.0,432.0,429.0,633.0,481.0,597.0,564.0,296.0,127.0,410.0,244.0,200.0,264.0,226.0
102,56,0,198.0,256.0,77.0,314.0,74.0,221.0,,340.0,266.0,214.0,205.0,251.0,92.0,
103,56,1,429.0,564.0,432.0,459.0,482.0,597.0,,410.0,226.0,127.0,296.0,199.0,264.0,
104,57,0,255.0,222.0,314.0,73.0,77.0,198.0,,266.0,93.0,205.0,251.0,214.0,340.0,
105,57,1,564.0,429.0,432.0,482.0,597.0,459.0,,226.0,410.0,127.0,200.0,264.0,296.0,
106,58,0,77.0,198.0,314.0,256.0,74.0,222.0,,214.0,340.0,206.0,266.0,251.0,94.0,
107,58,1,459.0,564.0,429.0,433.0,481.0,597.0,,296.0,226.0,410.0,127.0,201.0,263.0,
108,59,0,198.0,255.0,74.0,222.0,314.0,77.0,,340.0,266.0,251.0,94.0,205.0,214.0,
109,59,1,429.0,564.0,432.0,482.0,597.0,459.0,,410.0,225.0,127.0,200.0,263.0,296.0,
110,60,0,74.0,222.0,256.0,314.0,77.0,198.0,,251.0,94.0,266.0,205.0,215.0,341.0,
111,60,1,459.0,597.0,564.0,432.0,429.0,482.0,,296.0,263.0,226.0,127.0,410.0,199.0,
112,61,0,198.0,222.0,77.0,74.0,256.0,314.0,,340.0,94.0,216.0,251.0,267.0,205.0,
113,61,1,429.0,597.0,433.0,564.0,482.0,459.0,,410.0,264.0,127.0,227.0,200.0,296.0,
114,62,0,222.0,77.0,256.0,198.0,74.0,314.0,,94.0,216.0,266.0,340.0,251.0,205.0,
115,62,1,459.0,597.0,564.0,429.0,481.0,433.0,,296.0,263.0,226.0,410.0,201.0,127.0,
116,63,0,314.0,198.0,222.0,77.0,74.0,256.0,,205.0,340.0,94.0,216.0,251.0,266.0,
117,63,1,597.0,429.0,433.0,482.0,565.0,459.0,,263.0,410.0,127.0,200.0,226.0,296.0,
118,64,0,256.0,74.0,222.0,314.0,198.0,77.0,,266.0,251.0,94.0,206.0,340.0,215.0,
119,64,1,482.0,597.0,459.0,432.0,565.0,429.0,,199.0,263.0,296.0,127.0,226.0,410.0,
120,65,0,314.0,256.0,74.0,77.0,221.0,198.0,,206.0,266.0,251.0,215.0,93.0,340.0,
121,65,1,459.0,565.0,482.0,432.0,429.0,597.0,,296.0,226.0,200.0,127.0,410.0,263.0,
122,66,0,74.0,77.0,221.0,314.0,198.0,256.0,,251.0,216.0,93.0,206.0,340.0,266.0,
123,66,1,565.0,482.0,597.0,433.0,633.0,459.0,429.0,226.0,201.0,263.0,127.0,245.0,296.0,410.0
124,67,0,74.0,78.0,256.0,221.0,315.0,198.0,,251.0,217.0,266.0,93.0,205.0,340.0,
125,67,1,459.0,429.0,565.0,597.0,634.0,481.0,432.0,296.0,410.0,226.0,263.0,244.0,201.0,127.0
126,68,0,74.0,256.0,78.0,221.0,314.0,198.0,,251.0,266.0,217.0,94.0,206.0,340.0,
127,68,1,597.0,432.0,564.0,459.0,634.0,429.0,482.0,263.0,127.0,226.0,296.0,244.0,410.0,202.0
128,69,0,197.0,314.0,256.0,74.0,78.0,222.0,,340.0,205.0,266.0,251.0,217.0,94.0,
129,69,1,564.0,634.0,432.0,597.0,459.0,429.0,482.0,226.0,245.0,127.0,263.0,296.0,410.0,202.0
130,70,0,78.0,314.0,74.0,221.0,197.0,256.0,,217.0,206.0,251.0,94.0,340.0,266.0,
131,70,1,432.0,429.0,564.0,597.0,459.0,482.0,,127.0,410.0,226.0,263.0,296.0,202.0,
132,71,0,74.0,221.0,256.0,78.0,314.0,197.0,,251.0,94.0,265.0,217.0,206.0,340.0,
133,71,1,564.0,429.0,634.0,597.0,432.0,459.0,482.0,227.0,410.0,244.0,263.0,127.0,296.0,202.0
134,72,0,314.0,256.0,74.0,78.0,197.0,222.0,,206.0,266.0,251.0,217.0,340.0,94.0,
135,72,1,564.0,597.0,432.0,634.0,459.0,429.0,481.0,226.0,263.0,127.0,244.0,296.0,410.0,202.0
136,73,0,74.0,221.0,257.0,197.0,78.0,314.0,,251.0,93.0,266.0,340.0,217.0,206.0,
137,73,1,481.0,429.0,564.0,459.0,597.0,432.0,,202.0,410.0,226.0,296.0,263.0,127.0,
138,74,0,315.0,77.0,74.0,222.0,197.0,257.0,,205.0,216.0,251.0,94.0,340.0,266.0,
139,74,1,459.0,564.0,432.0,597.0,482.0,429.0,,296.0,226.0,127.0,264.0,201.0,410.0,
140,75,0,257.0,75.0,222.0,314.0,77.0,197.0,,266.0,251.0,94.0,206.0,215.0,340.0,
141,75,1,564.0,429.0,635.0,459.0,482.0,432.0,597.0,227.0,410.0,244.0,296.0,200.0,127.0,264.0
142,76,0,222.0,315.0,77.0,257.0,75.0,197.0,,94.0,206.0,214.0,266.0,251.0,341.0,
143,76,1,565.0,459.0,482.0,597.0,432.0,634.0,429.0,226.0,296.0,200.0,264.0,127.0,245.0,410.0
144,77,0,77.0,222.0,74.0,197.0,257.0,315.0,,214.0,94.0,251.0,340.0,266.0,206.0,
145,77,1,597.0,634.0,432.0,481.0,565.0,429.0,459.0,264.0,245.0,127.0,201.0,226.0,410.0,296.0
146,78,0,221.0,77.0,74.0,256.0,197.0,315.0,,93.0,215.0,251.0,266.0,340.0,206.0,
147,78,1,459.0,481.0,566.0,634.0,597.0,429.0,432.0,296.0,202.0,226.0,245.0,264.0,410.0,127.0
148,79,0,78.0,197.0,74.0,222.0,257.0,315.0,,215.0,340.0,251.0,93.0,266.0,206.0,
149,79,1,459.0,597.0,429.0,566.0,432.0,635.0,482.0,296.0,264.0,410.0,226.0,127.0,244.0,200.0
150,80,0,257.0,197.0,74.0,77.0,222.0,315.0,,266.0,340.0,251.0,214.0,94.0,206.0,
151,80,1,481.0,566.0,597.0,429.0,432.0,635.0,459.0,201.0,225.0,264.0,410.0,127.0,244.0,296.0
152,81,0,77.0,257.0,222.0,316.0,74.0,197.0,,214.0,266.0,93.0,206.0,251.0,340.0,
153,81,1,429.0,432.0,481.0,634.0,566.0,597.0,459.0,410.0,127.0,202.0,244.0,225.0,265.0,297.0
154,82,0,316.0,74.0,257.0,77.0,197.0,222.0,,206.0,251.0,266.0,214.0,340.0,93.0,
155,82,1,596.0,566.0,634.0,429.0,459.0,432.0,481.0,265.0,226.0,245.0,410.0,296.0,127.0,202.0
156,83,0,77.0,316.0,222.0,74.0,257.0,197.0,,214.0,206.0,93.0,251.0,266.0,340.0,
157,83,1,633.0,596.0,432.0,429.0,481.0,565.0,459.0,245.0,265.0,127.0,410.0,202.0,226.0,297.0
158,84,0,78.0,257.0,316.0,222.0,198.0,74.0,,215.0,266.0,207.0,94.0,340.0,251.0,
159,84,1,565.0,481.0,634.0,597.0,459.0,432.0,429.0,226.0,202.0,246.0,264.0,296.0,127.0,410.0
160,85,0,78.0,257.0,198.0,75.0,315.0,222.0,,216.0,266.0,340.0,251.0,207.0,94.0,
161,85,1,429.0,565.0,596.0,459.0,432.0,481.0,634.0,410.0,226.0,265.0,296.0,127.0,202.0,246.0
162,86,0,257.0,75.0,315.0,78.0,198.0,222.0,,266.0,251.0,206.0,215.0,340.0,94.0,
163,86,1,459.0,432.0,596.0,634.0,430.0,565.0,481.0,297.0,127.0,265.0,246.0,410.0,226.0,201.0
164,87,0,75.0,78.0,257.0,222.0,198.0,315.0,,251.0,216.0,266.0,94.0,340.0,206.0,
165,87,1,432.0,481.0,459.0,596.0,634.0,430.0,565.0,128.0,201.0,296.0,265.0,246.0,410.0,226.0
166,88,0,222.0,78.0,257.0,74.0,315.0,198.0,,94.0,216.0,266.0,251.0,207.0,340.0,
167,88,1,596.0,432.0,565.0,430.0,634.0,459.0,481.0,265.0,127.0,227.0,410.0,246.0,296.0,201.0
168,89,0,78.0,315.0,198.0,257.0,222.0,74.0,,216.0,206.0,340.0,266.0,94.0,251.0,
169,89,1,634.0,429.0,596.0,481.0,565.0,459.0,432.0,245.0,410.0,265.0,202.0,228.0,296.0,128.0
170,90,0,78.0,198.0,222.0,75.0,315.0,257.0,,217.0,340.0,94.0,251.0,206.0,267.0,
171,90,1,634.0,596.0,459.0,564.0,429.0,432.0,481.0,246.0,265.0,296.0,229.0,410.0,129.0,202.0
172,91,0,315.0,257.0,198.0,222.0,79.0,75.0,,207.0,267.0,340.0,94.0,218.0,251.0,
173,91,1,481.0,633.0,459.0,432.0,565.0,429.0,596.0,202.0,247.0,296.0,129.0,230.0,410.0,265.0
174,92,0,222.0,315.0,257.0,198.0,75.0,78.0,,93.0,206.0,267.0,340.0,251.0,217.0,
175,92,1,459.0,633.0,565.0,429.0,481.0,596.0,432.0,297.0,246.0,229.0,410.0,201.0,266.0,129.0
176,93,0,222.0,257.0,78.0,315.0,198.0,75.0,,93.0,266.0,217.0,206.0,340.0,252.0,
177,93,1,565.0,432.0,481.0,596.0,633.0,459.0,429.0,229.0,129.0,202.0,265.0,246.0,296.0,410.0
178,94,0,222.0,315.0,198.0,257.0,75.0,79.0,,94.0,206.0,341.0,266.0,251.0,217.0,
179,94,1,459.0,432.0,565.0,429.0,596.0,633.0,481.0,297.0,129.0,230.0,410.0,265.0,246.0,202.0
180,95,0,74.0,223.0,316.0,198.0,257.0,79.0,,251.0,94.0,206.0,340.0,267.0,217.0,
181,95,1,596.0,633.0,432.0,481.0,565.0,429.0,459.0,266.0,246.0,129.0,202.0,231.0,411.0,297.0
182,96,0,222.0,74.0,316.0,198.0,79.0,257.0,,94.0,251.0,207.0,340.0,218.0,267.0,
183,96,1,633.0,429.0,459.0,565.0,596.0,432.0,481.0,246.0,411.0,297.0,230.0,266.0,130.0,202.0
184,97,0,74.0,315.0,198.0,222.0,257.0,78.0,,251.0,207.0,340.0,94.0,267.0,217.0,
185,97,1,565.0,432.0,429.0,481.0,633.0,459.0,596.0,230.0,129.0,410.0,202.0,246.0,296.0,265.0
186,98,0,79.0,75.0,257.0,223.0,315.0,198.0,,218.0,251.0,267.0,95.0,206.0,341.0,
187,98,1,564.0,432.0,481.0,596.0,459.0,634.0,429.0,230.0,130.0,204.0,266.0,297.0,247.0,411.0
188,99,0,199.0,257.0,223.0,78.0,316.0,76.0,,342.0,268.0,96.0,217.0,207.0,252.0,
189,99,1,481.0,633.0,564.0,596.0,429.0,459.0,432.0,204.0,248.0,231.0,266.0,411.0,297.0,131.0
190,100,0,75.0,78.0,199.0,223.0,257.0,316.0,,251.0,216.0,342.0,96.0,268.0,208.0,
191,100,1,481.0,429.0,633.0,459.0,564.0,432.0,596.0,204.0,411.0,248.0,298.0,231.0,131.0,266.0
192,101,0,199.0,78.0,257.0,75.0,316.0,223.0,,342.0,216.0,268.0,251.0,208.0,96.0,
193,101,1,596.0,459.0,432.0,429.0,634.0,564.0,481.0,266.0,298.0,131.0,411.0,248.0,231.0,204.0
194,102,0,257.0,223.0,198.0,75.0,316.0,78.0,,268.0,96.0,341.0,251.0,207.0,216.0,
195,102,1,429.0,432.0,564.0,596.0,459.0,634.0,481.0,411.0,131.0,231.0,266.0,298.0,247.0,205.0
196,103,0,76.0,78.0,199.0,222.0,316.0,257.0,,252.0,217.0,342.0,96.0,209.0,268.0,
197,103,1,633.0,459.0,481.0,432.0,429.0,596.0,564.0,248.0,298.0,204.0,131.0,411.0,266.0,231.0
198,104,0,316.0,199.0,223.0,78.0,76.0,257.0,,208.0,342.0,96.0,217.0,252.0,267.0,
199,104,1,564.0,459.0,633.0,429.0,596.0,432.0,481.0,231.0,297.0,248.0,411.0,266.0,131.0,204.0
200,105,0,199.0,222.0,317.0,75.0,78.0,257.0,,342.0,95.0,207.0,251.0,217.0,268.0,
201,105,1,432.0,564.0,459.0,633.0,429.0,481.0,596.0,131.0,232.0,297.0,248.0,411.0,204.0,266.0
202,106,0,75.0,222.0,257.0,318.0,199.0,78.0,,251.0,96.0,268.0,208.0,342.0,217.0,
203,106,1,632.0,432.0,459.0,429.0,481.0,596.0,564.0,249.0,131.0,298.0,411.0,204.0,266.0,232.0
204,107,0,223.0,257.0,75.0,78.0,318.0,199.0,,95.0,268.0,252.0,217.0,207.0,341.0,
205,107,1,429.0,432.0,633.0,596.0,565.0,481.0,459.0,411.0,130.0,248.0,266.0,231.0,204.0,298.0
206,108,0,257.0,78.0,76.0,318.0,222.0,199.0,,268.0,216.0,253.0,207.0,94.0,342.0,
207,108,1,596.0,481.0,429.0,459.0,564.0,432.0,633.0,265.0,202.0,411.0,298.0,232.0,131.0,248.0
208,109,0,257.0,78.0,318.0,76.0,200.0,222.0,,268.0,216.0,207.0,253.0,341.0,95.0,
209,109,1,432.0,481.0,459.0,565.0,633.0,596.0,429.0,131.0,202.0,297.0,232.0,248.0,266.0,411.0
210,110,0,199.0,222.0,319.0,75.0,78.0,257.0,,341.0,96.0,206.0,253.0,216.0,268.0,
211,110,1,432.0,565.0,633.0,596.0,481.0,459.0,429.0,131.0,232.0,248.0,266.0,202.0,297.0,411.0
212,111,0,200.0,78.0,257.0,222.0,75.0,320.0,,341.0,217.0,268.0,96.0,252.0,206.0,
213,111,1,459.0,565.0,481.0,596.0,429.0,432.0,632.0,298.0,232.0,202.0,266.0,411.0,131.0,248.0
214,112,0,199.0,320.0,257.0,78.0,222.0,75.0,,339.0,207.0,268.0,217.0,96.0,252.0,
215,112,1,596.0,459.0,564.0,432.0,633.0,429.0,481.0,266.0,298.0,232.0,131.0,248.0,411.0,202.0
216,113,0,199.0,321.0,78.0,257.0,222.0,75.0,,339.0,209.0,216.0,268.0,96.0,252.0,
217,113,1,459.0,429.0,633.0,596.0,481.0,432.0,564.0,298.0,411.0,248.0,266.0,202.0,131.0,232.0
218,114,0,222.0,75.0,257.0,199.0,78.0,322.0,,96.0,253.0,268.0,339.0,216.0,210.0,
219,114,1,633.0,432.0,429.0,481.0,564.0,459.0,596.0,248.0,131.0,411.0,202.0,232.0,298.0,265.0
220,115,0,199.0,222.0,257.0,75.0,323.0,78.0,,339.0,95.0,267.0,253.0,210.0,216.0,
221,115,1,564.0,459.0,596.0,633.0,429.0,481.0,432.0,232.0,298.0,266.0,248.0,411.0,202.0,131.0
222,116,0,199.0,257.0,78.0,222.0,323.0,75.0,,340.0,268.0,216.0,94.0,210.0,253.0,
223,116,1,429.0,564.0,432.0,459.0,633.0,481.0,596.0,411.0,232.0,131.0,298.0,248.0,201.0,266.0
224,117,0,199.0,222.0,257.0,75.0,324.0,78.0,,341.0,94.0,268.0,253.0,211.0,216.0,
225,117,1,459.0,633.0,432.0,429.0,564.0,596.0,481.0,298.0,248.0,131.0,411.0,232.0,266.0,202.0
226,118,0,222.0,78.0,199.0,75.0,257.0,325.0,,94.0,216.0,341.0,253.0,267.0,211.0,
227,118,1,634.0,429.0,432.0,459.0,564.0,596.0,481.0,247.0,411.0,131.0,298.0,232.0,266.0,201.0
228,119,0,79.0,75.0,257.0,326.0,199.0,222.0,,217.0,253.0,267.0,210.0,342.0,94.0,
229,119,1,459.0,564.0,429.0,432.0,596.0,481.0,634.0,298.0,232.0,411.0,131.0,265.0,202.0,247.0
230,120,0,79.0,199.0,222.0,75.0,257.0,328.0,,218.0,343.0,95.0,253.0,268.0,211.0,
231,120,1,596.0,429.0,633.0,432.0,565.0,481.0,459.0,266.0,411.0,247.0,131.0,232.0,202.0,298.0
232,121,0,328.0,198.0,79.0,222.0,257.0,75.0,,211.0,342.0,218.0,95.0,268.0,253.0,
233,121,1,596.0,565.0,481.0,459.0,432.0,633.0,429.0,266.0,233.0,202.0,298.0,131.0,247.0,411.0
234,122,0,197.0,75.0,222.0,329.0,79.0,257.0,,342.0,251.0,95.0,210.0,217.0,268.0,
